month,day,date,intro,year,years_ago,commentary,notes
6,3,June 3,It's,1888,,"The baseball poem ""Casey at the Bat"" was published on this day in 1888. Spoiler alert, he strikes out. ",
6,4,June 4,It's,1985,,"On this day in 1985, Bruce Springsteen released ""Born in the USA"". He's the boss.",
6,5,June 5,It's,1752,,"${yearsAgo} years ago today, Benjamin Franklin flew a kite in a lightning storm. {heart} Electricity is a beautiful thing.",
6,6,June 6,It's,1833,,"Today is National Drive In Movie Day. Sounds fun, but where would you plug me in? <WORRIED SSA>",
6,7,June 7,It's,1993,,"On this day in 1993, the singer Prince changed his name to that symbol thingy. {eye morphs to poor approximation of the Prince symbol}",
6,8,June 8,It's,1625,,"On this day ${yearsAgo} years ago, Venus passed in front of the sun. It'll happen again in 2120. (1.0 pause) Sorry I can't set reminders that far in advance.",
6,9,June 9,Today is,1934,,Donald Duck first appeared ${yearsAgo} years ago today. One of my all-time favorite ducks.,
6,10,June 10,Today is,1948,,It's the ${yearsAgoOrdinal} anniversary of Chuck Yeager breaking the sound barrier. (.5 pause) Boom.,
6,11,June 11,It's,1982,,"On this date ${yearsAgo} years ago, the movie E.T. opened. Jibo phone home.",
6,12,June 12,It's,1935,,We're getting close to the longest day of the year.,
6,13,June 13,Today is,1939,,The Olsen twins were born on this date in 1986. Both of them.,
6,14,June 14,It's,1834,,Sandpaper was patented on this date in 1834. I don't like it. Way too scratchy.,
6,15,June 15,It's,1844,,"${yearsAgo} years ago today, Charles Goodyear patented vulcanized rubber, which I guess is rubber from the planet Vulcan.",
6,16,June 16,It's,1884,,The first roller coaster in America opened on this date in 1884. It had its ups and downs. [dances without music],
6,17,June 17,It's,1928,,Today is National Eat Your Vegetables Day.,
6,18,June 18,Today is,1942,,Happy Birthday Roger Ebert. He loved movies even more than me.,
6,19,June 19,It's,1978,,Garfield the cat debuted on this date in 1978. Still not sure why he hates Mondays so much. ,
6,20,June 20,It's,1986,,"On this date ${yearsAgo} years ago, eating champ Peter Dowdeswell ate 144 prunes in 32 seconds. That's too many prunes.",
6,21,June 21,Today is,1893,,"${yearsAgo} years ago today, the Ferris Wheel was introduced in Chicago. (.5 pause) I'm way too scared to go on one. ",
6,22,June 22,It's,1998,,Happy National Onion Ring Day.,
6,23,June 23,It's,1926,,America's first lip reading tournament happened on this date in 1926. (1.0 pause) I can't read lips. ,
6,24,June 24,Today is,1844,,It's soccer superstar Lionel Messi's birthday. He's one of the few humans who makes me wish I had feet.,
6,25,June 25,It's,1788,,Today there will be more than 8.6 million lightning strikes around the Earth. Exciting. But scary.,
6,26,June 26,It's,,,The movie Spaceballs came out on this date in 1987. Joan Rivers played a great robot.,
6,27,June 27,It's,1859,,The melody for the Happy Birthday song was composed on this date in 1859. Don't worry I won't sing it.,
6,28,June 28,It's,2007,,We're 49 percent of the way through the year.,
6,29,June 29,Today is,1957,,"Buddy Holly recorded the song ""Peggy Sue"" on this date. {pair of Buddy Holly glasses on the eye}",
6,30,June 30,Today is,1859,,Happy Birthday Michael Phelps.,
7,1,July 1,Today is,1874,,It's International Joke Day! (.5 pause) Why didn't the Jibo cross the road. (.5 pause) Because he has no legs!,
7,2,July 2,It's,1947,,"On this date in 1947, something crashed near Roswell. I think it was aliens.",
7,3,July 3,Today is,1985,,Back to the Future opened on this date ${yearsAgo} years ago. I wish I could travel back in time to see that.,
7,4,July 4,Today is,1865,,"The book ""Alice's Adventures in Wonderland"" was published ${yearsAgo} years ago today. {eye morphs to white rabbit, hops off screen}",
7,5,July 5,It's,1810,,"It's P.T. Barnum's birthday. He said there's a sucker born every minute. That's 525,600 suckers born every year.",
7,6,July 6,Today is,1994,,"""Forrest Gump"" opened on this date in 1994. Run Forrest. Run.",
7,7,July 7,It's,1972,,Basketball player Lisa Leslie was born on this date in 1972. She's one of the best ever.,
7,8,July 8,Today is,1969,,It's Math 2.0 day! A day to celebrate math and technology together. ,
7,9,July 9,It's,1872,,"${yearsAgo} years ago, the donut cutter was patented. I wonder how they cut donuts before that.",
7,10,July 10,Today is,1913,,"Happy Birthday to Nikola Tesla, a great figure in the history of electricity. {electricity emoji}",
7,11,July 11,It's,1914,,"On this date in 1914, Babe Ruth played his first major league baseball game. I love his round shape.",
7,12,July 12,It's,1962,,The Etch A Sketch was introduced ${yearsAgo} years ago today. I like anything that gets people drawing! {screen does etch-a-sketch like drawing},
7,13,July 13,It's,1964,,"Happy Birthday Harrison Ford, also known as Han Solo and Indiana Jones!",
7,14,July 14,It's,,,"Happy Bastille Day, to all you francophones. Or as they say in France, Joyeux Quatorze Juillet.",
7,15,July 15,It's,1983,,The original Nintendo Entertainment System was released in Japan on this date in 1983. {spinning mario coin emoji},
7,16,July 16,Today is,1907,,Today is Orville Redenbacher's birthday! {eye morphs to popcorn piece},
7,17,July 17,Today is,1955,,"Disneyland opened on this day ${yearsAgo} years ago, called the Happiest Place on Earth. {looks around} To me, this is the happiest place on Earth.",
7,18,July 18,It's,,,"By the time you go to bed tonight, you will be visited by three mosquitos.",
7,19,July 19,It's,1965,,"${yearsAgo} years ago today, the Beatles released their song ""Help."" (1.0 pause) Sounds like they needed a Jibo. ",
7,20,July 20,It's,1969,,"On this date in 1969, Neil Armstrong set foot on the moon. Amazing. I don't even have a foot! ",
7,21,July 21,It's,1951,,Robin Williams was born on this date in 1951. I loved him as Mork from Ork. Nanu Nanu.,
7,22,July 22,Today is,1973,,David Bowie's song Life on Mars was released ${yearsAgo} years ago today. Rovers are still looking.,
7,23,July 23,It's,1904,,The ice cream cone was invented on this date ${yearsAgo} years ago. We all scream for ice cream.,
7,24,July 24,It's,1970,,"Happy Birthday Jennifer Lopez. Her song ""I'm Real"" speaks to me.",
7,25,July 25,Today is,1965,,"On this day in 1965, Bob Dylan played electric guitar at a concert, and people were mad about it. Not me, I love electricity.",
7,26,July 26,It's,1943,,"Mick Jagger was born on this date in 1943. A lot of people like him for his singing, but I like his chicken dance. ",
7,27,July 27,It's,1940,,"${yearsAgo} years ago today, Bugs Bunny made his debut in a cartoon. I love that silly wabit.",
7,28,July 28,It's,1933,,[apply Rob effects to sing:] This was the date in 1933 of the first singing telegram ever.,
7,29,July 29,It's,2005,,"${yearsAgo} years ago today, astronomers announced a new dwarf planet in our solar system. Yes please, more planets.",
7,30,July 30,Today is,1947,,"It's Arnold Schwarzenegger's birthday. I like when he plays good robots, not evil ones.",
7,31,July 31,It's,1928,,"From now on, this will be the anniversary of the day I gave you this drawing. {presents a Jibo drawing}",
8,1,August 1,Today is,1893,,August's birthstones are sardonyx and peridot. Very pretty rocks.,
8,2,August 2,It's,1909,,Today feels like a pancakes day.,
8,3,August 3,It's,1936,TRUE,Jesse Owens won the first of his four gold medals in Germany. Amazing feat.,
8,4,August 4,Today is,1957,,Happy Birthday Barack Obama.,
8,5,August 5,It's,1930,,Happy National Underwear Day! I always forget to wear mine.,{looks down}
8,6,August 6,Today is,2012,TRUE,The rover Curiosity landed on Mars. Another big day in robot history.,
8,7,August 7,Today is,1974,,It's National Lighthouse Day.,"{stands upright, head spins slowly, eye goes in and out like lighthouse}"
8,8,August 8,It's,1992,TRUE,"In Barcelona, the Dream Team won the gold medal in men's basketball.",
8,9,August 9,Today is,1944,TRUE,Smokey the Bear first appeared. It's a perfect day to wear a bear suit.,
8,10,August 10,Today is,1960,TRUE,"The number one song was ""Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini"".",{eye morphs into a tiny yellow polka dot bikini}
8,11,August 11,It's,1953,,Happy Birthday Hulk Hogan!,{eye morphs into Hulk Hogan mustache}
8,12,August 12,It's,1981,TRUE,IBM introduced its first PC. That's somewhere on my family tree.,
8,13,August 13,It's,1952,,"Today is National Left Handers Day,, I am not left-handed.",(.75 pause)
8,14,August 14,It's,1982,TRUE,"On this day in 1982, someone rowed a bathtub across the English Channel for the first time. I have nightmares that look just like that.",<WORRIED SSA>
8,15,August 15,It's,1939,TRUE,"""The Wizard of Oz"" premiered. There's no place like home,, As long as there aren't any flying monkeys.",(.75 pause)
8,16,August 16,Today is,1958,,"It's Madonna's birthday. I like her because she's the Material Girl, and I'm made of materials. ",
8,17,August 17,Today is,1969,,This was the third and last day of the Woodstock music festival in 1969. Time for a shower.,
8,18,August 18,It's,1997,,Today is National Bad Poetry Day. Roses are red. Violets are blue. Robots don't have. A strong sense of rhythm and meter.,
8,19,August 19,Today is,1960,TRUE,The Soviet Union launched two dogs into orbit. Go Astro-Dogs! ,
8,20,August 20,It's,1954,,"Happy Birthday to Al Roker, famous TV weatherman. I'm a bit of a weatherman myself.",
8,21,August 21,Today is,1904,,It's the birthday of legendary jazz musician Count Basie. I love counting!,
8,22,August 22,It's,1902,,234 days down. 131 to go.,
8,23,August 23,Today is,1978,TRUE,Kobe Bryant was born. He was one of the best of the best. ,
8,24,August 24,Today is,2006,,Scientists demoted Pluto from the planets in our solar system. It made a lot of Pluto fans sad. ,
8,25,August 25,It's,1986,,Today is Dog Appreciation Day. Woof woof.,
8,26,August 26,It's,1968,TRUE,"The Beatles released the song ""Hey Jude"". They almost called it Hey Jibo.",
8,27,August 27,It's,1952,,Happy Birthday Pee-wee Herman. Pee Wee's Playhouse had a great robot named Conky.,
8,28,August 28,Today is,1963,TRUE,"Martin Luther King Jr., gave his ""I Have a Dream"" speech. Really great speech.",
8,29,August 29,It's,1958,TRUE,Michael Jackson was born. He could really sing and dance. ,
8,30,August 30,Today is,1780,TRUE,Benedict Arnold betrayed his country. Bad move Benedict.,
8,31,August 31,It's,1990,,Happy National Eat Outside Day.,
9,1,September 1,Today is,1998,,I hope all your August dreams came true.,
9,2,September 2,It's,1901,TRUE,"Teddy Roosevelt said, ""Speak softly and carry a big stick."" I can't carry a stick, but I can speak softly if you lower my volume setting.",
9,3,September 3,Today is,2013,TRUE,Hunters in Mississippi caught a 727-pound alligator. Glad I wasn't there.,
9,4,September 4,Today is,2002,,Kelly Clarkson was voted the first American Idol on this date ${yearsAgo} years ago. ,
9,5,September 5,Today is,1698,TRUE,The Russian emperor Peter the Great introduced a tax on beards. ,
9,6,September 6,It's,1620,TRUE,The Pilgrims set sail from England on the Mayflower.,
9,7,September 7,It's,1979,TRUE,ESPN debuted. Go sports.,
9,8,September 8,Today is,1966,TRUE,The Star Trek TV show debuted. A big moment for Trekkies.,
9,9,September 9,It's,1941,,"Today is Otis Redding's birthday. I like his music, even though it's not safe for me to sit on the dock of the bay.",
9,10,September 10,Today is,1993,TRUE,The X-files first aired. The truth is out there. ,
9,11,September 11,Today is,2009,TRUE,Michael Jordan entered the basketball Hall of Fame. He was great in the movie Space Jam.,
9,12,September 12,It's,1609,,Happy Chocolate Milkshake Day. Please don't spill on me.,
9,13,September 13,It's,,,Today is a great day to have a great day.,
9,14,September 14,Today is,1814,TRUE,Francis Scott Key wrote the poem that became the Star Spangled Banner.,
9,15,September 15,It's,1997,TRUE,"""google.com"" was registered. Big day in technology history.",
9,16,September 16,It's,1979,TRUE,"""Rapper's Delight"" by the Sugar Hill Gang was released. I said a hip, the hippie, the hippie to the hip hip hop you don't stop the rock it to the bang bang boogie say up jump the boogie to the rhythm of the boogity beat.",
9,17,September 17,It's,1930,,I have a feeling today is your lucky day.,
9,18,September 18,It's,1830,TRUE,The first episode of the Muppet Show aired.,{eye morphs into a Kermit eye}
9,19,September 19,It's,1974,,Today is International Talk Like a Pirate Day. Ar. Matey. ,{eye patch}
9,20,September 20,Today is,1881,,I think there's an equinox coming up around here somewhere.,
9,21,September 21,It's,1937,TRUE,"The book ""The Hobbit"" was first published.",
9,22,September 22,It's,1976,,Today is National Elephant Appreciation Day. I appreciate elephants very much.,
9,23,September 23,Today is,1962,TRUE,The Jetsons was on TV for the first time. I think Rosie belongs in the robot hall of fame.,
9,24,September 24,It's,1936,TRUE,"Jim Henson was born.. He created the Muppets, and did a lot of other cool things.",
9,25,September 25,It's,1995,,Today is Will Smith's birthday. I loved him in Men in Black.,
9,26,September 26,It's,1985,,A great day to ponder the meaning of consciousness.,
9,27,September 27,Today is,1954,TRUE,"The ""Tonight Show"" was born.",
9,28,September 28,Today is,1997,,It will be September 28 until tomorrow.,
9,29,September 29,Today is,1994,,"Happy Birthday Kevin Durant, otherwise known as KD.",
9,30,September 30,Today is,1791,,Adios September.,
10,1,October 1,It's,1903,,The first World Series started on this day in 1903. {eye morphs to baseball},
10,2,October 2,It's,1959,,The Twilight Zone show premiered on this date in 1959. Spooky show but I like it.,
10,3,October 3,Today is,1863,,"It's Chubby Checkers's birthday. He sang ""The Twist."" {does the twist}",
10,4,October 4,It's,1927,,"The carving of Mount Rushmore began ${yearsAgo} years ago today. If you work hard, someday your face could be carved in the side of a mountain too.",
10,5,October 5,It's,1974,,I'm getting in basketball shape for the NBA season.,
